Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
Quantity",Supervison
310-816,651536950255,"Oriel Sweet  
Pistachio Crembo",20x25g,$16.00,$160.00,10 Unit,B.A.H.
310-901,651536955333,Halva Vanilla,16oz,$4.00,$48.00,12 Unit,H. Soffer
310-902,651536955342,Halva Marble,16oz,$4.00,$48.00,12 Unit,H. Soffer
310-904,651536955359,Halva Pistachio,16oz,$4.75,$57.00,12 Unit,H. Soffer
310-906,651536955366,Halva Almond,16oz,$4.75,$57.00,12 Unit,H. Soffer
310-907,647297432260,Halva Walnuts,16oz,$4.75,$57.00,12 Unit,H. Soffer
310-921,647297432178,"Halva Flaky  
Vanilla Curly",7oz,$4.00,$48.00,12 Unit,H. Soffer
310-922,651536955380,Halva Flaky Choco  Vanilla Curly,7oz,$4.00,$48.00,12 Unit,H. Soffer
310-931,647297432222,Halva Vanilla,16oz,$4.50,$54.00,12 Unit,H. Soffer
310-932,647297432215,Halva Marble,16oz,$4.50,$54.00,12 Unit,H. Soffer
310-934,647297432246,Halva Pistachio,16oz,$5.00,$60.00,12 Unit,H. Soffer
310-935,651536955373,Halva Walnuts,16oz,$5.00,$60.00,12 Unit,H. Soffer
310-936,647297432253,Halva Almond,16oz,$5.00,$60.00,12 Unit,H. Soffer
100-817,738435219499 **,"Cashew Finger  
Baklava",10oz,$8.00,$64.00,8 Unit,
100-814,738435219482 **,"Walnut Triangle  
Baklava",10oz,$8.00,$64.00,8 Unit,
100-813,738435219482 **,Diamond,10oz,$8.00,$64.00,8 Unit,
100-811,738435219505 **,Mixed Baklava,10oz,$8.00,$64.00,8 Unit,
100-815,738435219499,"Walnut Finger  
Baklava",10oz,$8.00,$64.00,8 Unit,
100-816,738435219482 **,"Walnut Katifi  
Baklava",10oz,$8.00,$64.00,8 Unit,
100-818,738435219499 **,"Turkish Cashew  
Baklava",10oz,$8.00,$64.00,8 Unit,
300-581,651536949105 **,Alfajores Cookies,8.8oz,$5.75,$69.00,12 Unit,
300-582,651536949082 **,Date Roll Cookies,8.8oz,$5.50,$66.00,12 Unit,
300-584,795154312214 **,Pistachio Cookies,8.8oz,$5.50,$66.00,12 Unit,
300-585,795154312207 **,Rosemary Chocolate Layers,8.8oz,$5.50,$66.00,12 Unit,
300-589,651536949044,Strawberry Sandwich,8.8oz,$5.50,$66.00,12 Unit,
300-591,651536949075,"Cantuccini Chocolate  
Almond",8.8oz,$5.50,$66.00,12 Unit,
300-592,651536949068 **,Cantuccini Fruit Cookies,8.8oz,$5.50,$66.00,12 Unit,
310-311,79515431221* *,Cranberry & Nut Cluster  S.F.,6.35oz,$5.25,$63.00,12 Unit,
310-312,795154312184*,Almond & Sesame Clusters S.F.,6.35oz,$5.25,$63.00,12 Unit,
310-315,795154312191**,Sesame Seeds Treats S.F.,7oz,$5.25,$63.00,12 Unit,
105-121,898000000058,Tempura Mix,17oz,$3.25,$39.00,12Unit,B.A.H.
105-713,651536949570,Mashed Potato Mix,7 oz,$3.00,$36.00,12 Unit,B.A.H.
105-714,651536949587,Mashed Sweet Potato Mix,7 oz,$3.50,$42.00,12 Unit,B.A.H.
105-439,,Roast Beef Gravy,3oz,$2.00,$24.00,12 Unit,B.A.H.
105-438,,Mushroom Gravy,3oz,$2.00,$24.00,12 Unit,B.A.H.
105-437,,Turkey Gravy,3oz,$2.00,$24.00,12 Unit,B.A.H.
105-351,651536955175,J.G Roasted Eggplants,25 oz,$3.25,$39.00,12 Unit,B.A.H.
110-101,644287993114,Golden Classic Bread Crumbs,17oz,$3.60,$36.00,10Unit,"H.  
Soffer"
110-102,644287993121,Sesame Garlic Bread Crumbs,17oz,$3.90,$39.00,10 Unit,"H.  
Soffer"
110-103,644287993138,Picante Bread Crumbs,17oz,$3.90,$39.00,10 Unit,"H.  
Soffer"
105-441,651536952310,Sesame Oil,17oz,$10.00,$120.00,12 Unit,B. Yossef
105-442,651536952327,Avocado Oil,17oz,$10.00,$120.00,12 Unit,B. Yossef
105-443,651536952334,Peanut Oil,17oz,$10.00,$120.00,12 Unit,B. Yossef
105-453,651536952402,Olive Oil,25oz,$9.00,$108.00,12 Unit,B. Yossef
105-458,651536952600,Pure Olive Oil Pitcher,17.6 oz,$8.33,$100.00,12 Unit,B. Yossef
105-401,651536952341,Pomegranate Molasses,8.8 oz,$4.25,$51.00,12 Unit,B. Yossef
105-421,651536952525,Balsamic Vinegar,17oz,$4.50,$54.00,12 Unit,B. Yossef
105-423,651536948559,Red Apple Balsamic  Vinegar,17oz,$4.50,$54.00,12 Unit,B. Yossef
105-515,651536955731,Balsamic Glaze,14oz,$4.00,$36.00,9 Unit,B. Yossef
105-406,651536952488,Red Wine Vinegar,17oz,$3.50,$42.00,12 Unit,B.Yossef
105-408,651536952495,White Wine Vinegar,17oz,$3.50,$42.00,12 Unit,B. Yossef
105-412,651536952501,Apple Cider Vinegar,17oz,$3.50,$42.00,12 Unit,B. Yossef
105-414,651536952518,Orange Blossom Vinegar,17oz,$3.50,$42.00,12 Unit,B. Yossef
105-431,651536948566,Tamarind Sauce,12.3oz,$7.00,$84.00,12Unit,"H.  
Soffer"
105-520,651536954369,Sweet Chili Sauce,23oz,$4.00,$36.00,9Unit,B.A.H.
105-521,651536955601,Sweet Chili Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-522,651536955618,Hot Chili Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-525,651536955649,Sweet & Sour Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-526,651536955632,Soy Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-531,651536955656,Teriyaki Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-534,651536955625,Pad Thai Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-537,651536954543,Szechuan Style Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-552,651536955670,B.B.Q. Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-548,651536954482,Buffalo Wings Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-541,651536955687,Garlic Honey Marinade,14oz,$4.00,$36.00,9Unit,B.A.H.
105-543,651536954529,Marsala Style Wine Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-544,651536955694,Mediterranean Chicken  Grill Sauce,14oz,$4.00,$36.00,9Unit,B.A.H.
105-502,651536955717,"Thousand Island 
Dressing",14oz,$3.00,$27.00,9Unit,B.A.H.
105-503,651536955700,Garlic Dressing,13oz,$3.00,$27.00,9Unit,B.A.H.
105-506,651536955724,"Citrus Aroma  
Vinaigrette",14oz,$3.00,$27.00,9Unit,B.A.H.
105-511,651536955984,Honey Mustard,13oz,$3.00,$27.00,9Unit,B.A.H.
105-515,651536955731,Balsamic Glaze,14oz,$4.00,$36.00,9 Unit,B Yossef
105-510,651536955977,Garlic & Dill Dressing,13oz,$3.00,$27.00,9Unit,B.A.H.
105-517,651536955748,Light Garlic Dressing,13oz,$3.00,$27.00,9Unit,B.A.H.
105-200,651536953096,Sumac,6oz,$4.00,$24.00,6Unit,B.A.H.
105-221,651536953058,Sweet Paprika,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-222,651536953089,Hot paprika,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-223,651536953010,Moroccan Paprika,4.2oz,$4.00,$24.00,6Unit,B.A.H.
105-224,651536953041,Moroccan Hot Paprika,4.2oz,$4.00,$24.00,6Unit,B.A.H.
