Code,Barcode,Description,Product Weight,Price/Unit,Price/Case,"Unit  
Quantity",Supervison
340-904,7290001817377***,Chitos Puffs,55gr,$1.75,$84.00,48 Unit,B.Yossef
"

",,,,,,,
51,,,,,,,
"
",,,,,,,
340-905,7290106663824,Chitos Peanut Butter,55gr,$1.75,$84.00,48 Unit,B.Yossef
340-906,7290001817728,Chitos Pizza X-O,55gr,$2.10,$84.00,40 Unit,Badatz
340-907,7290001817377,Chitos Kafa Ketchup,55gr,$2.10,$84.00,40 Unit,Badatz
340-908,7290102037964,Chitos Cheese Dolphins,25gr,$1.00,$56.00,56Unit,B.Yossef
340-909,7290112358349,Chitos Pizza X-O,25gr,$1.00,$56.00,56Unit,B.Yossef
340-910,7290112358332,Chitos Kafa Ketchup,25gr,$1.00,$56.00,56Unit,B.Yossef
341-101,7290102030057,Elite Bamba Shosh,65gr,$1.75,$70.00,40 Unit,B.Yossef
340-920,7290112359728,Doritos Flaming Hot,55gr,$1.75,$84.00,48 Unit,
340-922,7290112359735,"Doritos Flaming Hot  
Lemon",55gr,$1.75,$84.00,48 Unit,
340-928,7290115677478,Chitos Popcorn Flaming  Hot,60gr,$2.50,$84.00,30 Unit,
"340- 
938",7290112358592,Extreme Crazy Grill,100gr,$2.75,$82.50,"30  
Unit",Badatz
340-937,7290112359650,Extreme Doritos Wasabi,100gr,$2.75,$82.50,30 Unit,Badatz
"

",,,,,,,
340-911,7290008753364,Doritos Grill,55gr,$1.75,$84.00,48 Unit,Badatz
"

",,,,,,,
52,,,,,,,
"
",,,,,,,
340-912,,DORITOS SPICY NACHO,55gr,$1.75,$84.00,48 Unit,
340-913,7290001817728,Doritos Hot & Spicy,55gr,$1.75,$84.00,48 Unit,Badatz
340-914,7290010119950,Doritos Sour & Spicy,55gr,$1.75,$84.00,48 Unit,Badatz
340-916,7290008753388,Doritos Original,55gr,$1.75,$84.00,48 Unit,Badatz
341-151,7290008745239***,Tapuchips Original Crunch,50gr,$1.75,$84.00,48 Unit,B.A.H
341-152,7290008753111,Tapuchips Mexican,50gr,$1.75,$84.00,48 Unit,B.A.H
341-153,7290008752244,Tapuchips Grill,50gr,$1.75,$84.00,48 Unit,B.A.H
341-155,7290005200786,Tapuchips Sour Crème  &Onion,50gr,$1.75,$84.00,48 Unit,B.A.H
341-156,7290115676990,Tapuchips Salt & Vinegar,50gr,$1.75,$84.00,48 Unit,B.A.H
341-157,7290106662025,Tapuchips Salt & Pepper,50gr,$1.75,$84.00,48 Unit,B.A.H
"

",,,,,,,
Osem Snacks,,,,,,,
"
",,,,,,,
320-751,7290000066332,Apropo,50gr,$2.16,$78.00,36 Unit,B.A.H.
320-754,7290104500572,Italian Apropo,50gr,$2.16,$78.00,36 Unit,B.A.H.
320-755,7290111563928,Chocolate Apropo,40gr,$2.16,$78.00,36 Unit,B.A.H.
320-758,729011568206,Apropo Party Mix,150gr,$3.12,$75.00,24 Unit,
"

",,,,,,,
53,,,,,,,
"
",,,,,,,
320-761,7290000066264,Doobonim,50gr,$2.10,$63.00,30 Unit,B.A.H.
320-764,,Doobonim Pizza,40gr,$2.10,$63.00,30 Unit,B.A.H.
320-748,,Red Sweet Bamba,30gr,$1.20,$48.00,40Unit,
320-711,7290112965745** *,Bissli Free Style Onion,60gr,$2.50,$60.00,24Unit,
320-712,7290112965783** *,Bissli Smoked BBQ,60gr,$2.50,$60.00,24 Unit,
320-713,7290112965806** *,Bissli Free Style Sour Spicy,60gr,$2.50,$60.00,24 Unit,
320-714,7290112961600** *,Osem Bissli Friends mix,150gr,$3.62,$87.00,24 Unit,
320-769,7290104504228,Doobonim Family Pack,8x5pk,$6.50,$52.00,8x5pk,B.A.H.
320-763,7290000062242,Doobonim Sour Cream &  Onion,40gr,$2.10,$63.00,30 Unit,B.A.H.
320-764,,Doobonim Pizza,40gr,$2.10,$63.00,30 Unit,B.A.H.
320-765,,Soccer Dobonim,40gr,$2.10,$63.00,,
320-766,7290006653857,Arnevonim,40gr,$2.10,$63.00,30 Unit,B.A.H.
320-762,7290106572652,Doobonim Zoo,40gr,$2.10,$63.00,30 Unit,B.A.H.
320-742,7290001302279,Bamba,3oz,$2.50,$100.00,40 Unit,B.A.H.
"

",,,,,,,
54,,,,,,,
"
",,,,,,,
320-747,7290000072074,Bamba With Halva,60gr,$2.16,$78.00,36 Unit,B.A.H.
320-725,,Bissli Carnival Three Flavor  Mix,150gr,$3.00,$75.00,24 Unit,B.A.H.
320-748,729000006629,Red Sweet Bamba,30gr,$1.00,$48.00,40 Unit,B.A.H.
320-734,7290115203134,Bamba Popcorn Mix,80gr,$2.00,$80.00,40Unit,
"

",,,,,,,
 ,,,,,,,
Osem Cookies,,,,,,,
"
",,,,,,,
320-936,72901109354996,"Gluten Free Chocolate  
Biscuit",200gr,$4.00,$48.00,12 Unit,B.A.H
320-937,72901109354972,Gluten Free Biscuit,200gr,$4.00,$48.00,12 Unit,B.A.H
320-901,7290008775816,Chocolate Argaliot,300g,$3.90,$23.50,6 Unit,B.A.H
320-904,7290008775816,Raspberry Argaliot,300g,$3.90,$23.50,6 Unit,B.A.H
320-902,7290008775823,Strawberry Argaliot,300g,$3.90,$23.50,6 Unit,B.A.H
320-903,,Argaliot Mix,300gr,$4.00,$48.00,12 Unit,B.A.H
320-908,,Cremeogit Choco Banana,7oz,$4.00,$48.00,12 Unit,B.A.H
320-909,7290115200683,Creamogit Filled Carmel,7oz,$4.00,$48.00,12 Unit,B.A.H
320-905,,Cremeogit Choco. Hazelnut,7oz,$4.00,$48.00,12 Unit,B.A.H
320-907,7693700055,Cremeogit Filled Halva,7 oz,$4.00,$48.00,12 Unit,B.A.H
320-906,7290000077017,Cremeogit Chocolate,7oz,$4.00,$48.00,12 Unit,B.A.H
"

",,,,,,,
55,,,,,,,
"
",,,,,,,
320-936,7290109354996,"Gluten Free Chocolate  
Biscuit",200g,$4.00,$48.00,12 Unit,B.A.H
320-937,7290109354972,Gluten Free Biscuit,200g,$4.00,$48.00,12 Unit,B.A.H
320-939,,Chocolate Bear Tea Biscuit,175gr,$4.00,$64.00,16 Unit,
320-938,,Raspberry Tea Biscuit,500gr,$4.50,$54.00,12 Unit,
320-911,,Pinuki Chocolate Cream  Filled,220g,$4.50,$72.00,16 Unit,B.A.H
320-912,7290115200010,Pinuki Vanilla Cream Filled,220g,$4.50,$72.00,16 Unit,B.A.H
"

",,,,,,,
  ,,,,,,,
"
",,,,,,,
 ,,,,,,,
Nestle Fitness,,,,,,,
"
",,,,,,,
321-251,,Fitness White Chocolate,135gr,$6.50,$58.50,9 Unit,
321-252,,Chocolate & Hazelnut,135gr,$6.50,$58.50,9 Unit,
321-253,,Fitness Chocolate,135gr,$6.50,$58.50,9 Unit,
321-254,5900020034021,Fitness Chocolate Banana,141gr,$6.50,$52.00,8 Unit,
321-255,,"Fitness Bittersweet  
Chocolate",135gr,$6.50,$58.50,9 Unit,
321-256,,Fitness Cookies,141gr,$6.50,$52.00,8 Unit,
321-257,,Fitness Carmel,141gr,$6.50,$52.00,8 Unit,
321-258,,Fitness Apricot & Peach,141gr,$6.50,$52.00,8 Unit,
321-259,,Fitness Wild Berry Bars,141gr,$6.50,$52.00,8 Unit,
321-261,,Fitness Honey & Almonds,141gr,$6.50,$52.00,8 Unit,
"

",,,,,,,
56,,,,,,,
"
",,,,,,,
"
",,,,,,,
321-260,5900020025647,Fitness Milk Chocolate,141gr,$6.75,$54.00,8 Unit,
321-291,,Cinnamon Rice Cakes,,60gr,$2.75,$33.00,12 Unit
321-312,7290112963918,Fitness Crackers Rosemary,140gr,$4.75,$57.00,12 Unit,
321-313,7290112963895,Fitness Authentic Crackers,150gr,$4.75,$57.00,12 Unit,
321-314,,"Sweet Potato Thin  
Crackers",,150g,$4.75,$57.00,12 Unit
321-315,,Beets Thin Crackers,,150g,$4.75,$57.00,12 Unit
321-281,72901411564277,Fitness Rice Cake,120gr,$4.00,$48.00,12 Unit,
321-282,7290111564291,Fitness Quinoa,120gr,$4.00,$48.00,12 Unit,
,,,,,,,
321-311,,Whole Wheat Crackers,243gr,,$3.50,$84.00,24 Unit
321-333,,"Bittersweet Chocolate  
Cookies",180gr,,$3.50,$42.00,12 Unit
321-331,,Chocolate Chip Cookies,180gr,,$3.50,$42.00,12 Unit
321-332,,Fitness Cranberry Cookies,180gr,,$3.33,$40.00,12 Unit
321-203,,Mixed Fruit Cereal,355gr,,$6.50,$104.00,16 Unit
321-204,,Dark Chocolate Cereal,355gr,,$6.50,$104.00,16 Unit
321-201,,Honey & Almond Cereal,355gr,,$6.50,$104.00,16 Unit
"

",,,,,,,
57,,,,,,,
"
",,,,,,,
Formatted Table,,,,,,,
"
",,,,,,,
Osem Pantry Items,,,,,,,
"
",,,,,,,
"320- 
241",7290105695024,"Toasted Pasta With  
Noodles",500gr,$3.25,$39.00,12 Unit,B.A.H.
"320- 
242",,"Toasted Pasta With  
Burgul",500gr,$3.25,$39.00,12 Unit,B.A.H.
"320- 
243",7290115203349,"Toasted Pasta with  
Lentils",400gr,$3.25,$39.00,12 Unit,
"320- 
261",7290106575332,Plus Couscous Ptitim  With Burgul,400gr,$3.25,$39.00,12 Unit,B.A.H.
"320- 
262",,Plus Couscous Ptitim  With Vegetables,400gr,$3.25,$39.00,12 Unit,B.A.H.
"320- 
265",76937000611,Classic Toasted Pasta  Shells,400gr,$3.75,$45.00,12 Unit,B.A.H.
"320- 
266",76937000628,Spinach Toasted Pasta  Shells,400gr,$3.75,$45.00,12 Unit,B.A.H.
"320- 
271",7290111568275***,Wide Rice Sticks,300gr,$4.00,$64.00,16 Unit,B.A.H.
"320- 
272",,Thin Egg Noodles,300gr,$3.75,$37.50,10 Unit,B.A.H.
"320- 
273",7290111568251***,Osem Stir Fry Noodles,350gr,$3.75,$37.50,10 Unit,B.A.H.
"320- 
274",,Osem Wide Egg Noodles,400gr,$3.75,$37.50,10 Unit,B.A.H.
"320- 
275",,Stir Fry Noodles,350gr,$3.75,$45.00,12 Unit,B.A.H.
"320- 
276",,Pad Thai Noodles,300gr,$3.75,$45.00,12 Unit,B.A.H.
"320- 
277",7290111568299***,Osem Spinach Noodles,300gr,$3.75,$45.00,12 Unit,B.A.H
"320- 
278",7290000313290***,"Osem Curly Egg  
Noodles",200gr,$4.20,$42.00,10 Unit,B.A.H
"320- 
401",,Osem Spanish Rice,140gr,$3.5,$21.00,6 Unit,B.A.H.
"

",,,,,,,
58,,,,,,,
"
",,,,,,,
"320- 
402",7290112965325,"Asian Style Rice &  
Noodles",140gr,$3.5,$21.00,6 Unit,B.A.H.
"320- 
403",7290112965141,"Toasted Pasta With  
Vegetables",140gr,$3.50,$24.50,7 Unit,B.A.H.
"320- 
404",7290112965141,"Cream & Mushroom  
Pasta",140gr,$3.50,$21.00,6 Unit,B.A.H.
"320- 
405",,"Couscous With  
Vegetables",140gr,$3.50,$24.50,7 Unit,B.A.H.
"320- 
302",7290000065557**,"Ready Meal  
Couscous",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
303",7290000067599**,"Ready Meals  
Pasta Bolognese Sauce",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
304",7290000073415**,"Ready Meals  
Pasta Pizza Sauce",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
305",7290000065540**,"Ready Meals 
Creamy Pasta",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
306",7290000073125**,"Ready Meals  
Tomato Pasta",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
307",7290000065335**,"Mashed Potato With  
Vegetables",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
308",7290000064871**,"Mashed Potato With  
Onion",2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
309",7290111560606**,Ready Meal Couscous &  Tomato,2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
310",7290109354019**,Ready Meal Couscous &  Lentils,2oz,$2.50,$30.00,12 Unit,B.A.H.
"320- 
311",,"Ready Meal Creamy  
Chicken",2oz,$2.50,$30.00,12 Unit,B.A.H.
"

",,,,,,,
59,,,,,,,
"
",,,,,,,
"320- 
326",,Spicy Thai Noodles,2.5oz,$2.50,$15.00,6 Units,B.A.H.
"320- 
327",,Spicy Korean Noodles,2.5oz,$2.50,$15.00,6 Units,B.A.H.
"320- 
321",7290000073750**,Chicken Noodle Soup,2.5oz,$2.50,$15.00,6 Units,B.A.H.
"320- 
322",7290000073767**,Beef Noodle Soup,2.5oz,$2.50,$15.00,6 Units,B.A.H.
"320- 
323",7290100680667,Sichuan Noodles,2.5oz,$2.50,$15.00,6 Units,B.A.H.
"320- 
324",7290100680650,Thai Style Noodles,2.5oz,$2.50,$15.00,6 Units,B.A.H.
"320- 
335",72901152404032,Indian Curry Rice,78gr,$2.50,$30.00,12 Unit,B.A.H
"320- 
336",7290115204018,Italian Pasta Alfredo,78gr,$2.50,$30.00,12 Unit,B.A.H
"320- 
317",,Chicken Ramen Noodles,100gr,$2.50,$40.00,16Unit,B.A.H
"320- 
318",,Beef Ramen Noodles,100gr,$2.50,$40.00,16Unit,B.A.H
"320- 
319",,Spicy Ramen Noodles,100gr,$2.50,$40.00,16Unit,B.A.H
"320- 
841",7290000063157,Self Rising Flour,1kg,$4.35,$43.50,"10  
Units",
"320- 
845",7290105691958**,Baking Yeast Flour,1kg,$4.80,$48.00,"10  
Units",
"320- 
849",7290109353395**,Gluten Free Yeast Flour,350gr,$4.25,$51.00,12 Unit,
"320- 
110",7290100689301,Chicken Consomme,400g,$5.00,$30.00,6 Unit,B.A.H.
"

",,,,,,,
60,,,,,,,
"
",,,,,,,
"325- 
106",0-77544-00288-3,"MSG Free Chicken  
Consomme",14.1oz,$5.25,$63.00,12 Unit,B.A.H
"325- 
103",0-77544-00247-0,Onion Soup,14.1oz,$5.25,$63.00,12 Unit,B.A.H
"325- 
101",0-77544-52740-9,Consomme Soup  Parve,14.1oz,$5.25,$63.00,12 Unit,
"320- 
106",7290111563560,Osem Bean Soup,220g,$5.50,$33.00,6 Unit,
"320- 
107",7290111563560,Osem Lentil Soup,220g,$5.50,$33.00,6 Unit,
"320- 
109",,Chicken Soup Parve,1 kg,$7.50,$60.00,8 Unit,
"320- 
119",7290000063140**,Osem Mini Mendels,400g,$4.50,$54.00,12 Unit,B.A.H
"320- 
151",7290000493176**,"Instant Roast Beef  
Gravy",35g,$2.50,$30.00,12 Unit,
"320- 
152",7290000493183**,"Instant Mushroom  
Gravy",35g,$2.50,$30.00,12 Unit,
"320- 
164",,Spicy Ketchup,25oz,$4.50,$40.50,9 Unit,B.A.H
"320- 
231",,"Osem White Bread  
Crumbs",200gr,$2.75,$33.00,12 Unit,B.A.H
"320- 
232",,Osem Golden Bread  Crumbs,200gr,$2.75,$33.00,12 Unit,B.A.H
"325- 
234",,Osem Panko Bread  Crumbs,9oz,$3.50,$42.00,12 Unit,
"320- 
239",7290100685563,Osem Golden Bread  Crumbs,"400g  
(2) 
200g(1)",$5.00,$30.00,6Unit,B.A.H
320-238,7290115203486,Osem Bread Crumbs  with Bisili,200gr,$3.00,$36.00,12 Unit,
"

",,,,,,,
61,,,,,,,
"
",,,,,,,
Telma – Kifli Snacks ,,,,,,,
"
",,,,,,,
690-853,7290000110844,Kifli Grill,70g,$2.25,$66.00,30Unit,B.A.H
690-852,7290000113203,Kifli Onion,70g,$2.25,$66.00,30Unit,B.A.H
690-851,7290000113203* *,Kifli Ketchup,70g,$2.25,$78.75,35Unit,B.A.H
690-856,,Kifli Onion Family Pack,"144g 
(4 pk)",$6.00,$84.00,14 Units,B.A.H
690-857,,Kifli Grill Family Pack,"144g 
(4pk)",$6.00,$84.00,14 Units,B.A.H
"

",,,,,,,
Asif –Toasted Pasta and Couscous ,,,,,,,
"
",,,,,,,
400-101,7290004771355,Toasted Pasta Orginal,17 oz,$1.75,$27.00,15 Unit,B.A.H
400-102,7290004771362,Toasted Pasta Rice,17 oz,$1.75,$27.00,15 Unit,B.A.H
400-106,7290004771331,Ptitim With Onion,17 oz,$2.00,$30.00,15 Unit,B.A.H
400-107,7290047771348,Whole wheat Toasted pasta,17 oz,$2.00,$30.00,15 Unit,B.A.H
400-108,7290004771324,Ptitim 3 Colors,17 oz,$2.00,$30.00,15 Unit,B.A.H
"

",,,,,,,
Couscous & Toasted Pasta,,,,,,,
"
",,,,,,,
400-121,7-2900047100-3,Asif Original Couscous,12 oz,$1.75,$42.00,"24  
Unit",B.A.H
"

",,,,,,,
62,,,,,,,
"
",,,,,,,
400-122,7-29000477115-7,"Asif Whole Wheat  
Couscous",12 oz,$2.00,$48.00,"24 
Unit",B.A.H
400-119,72900047710891,Couscous,2.2 lb,$4.50,$54.00,"12  
Unit",B.A.H
"

",,,,,,,
 ,,,,,,,
Elite Coffee,,,,,,,
"
",,,,,,,
340-436,7290112358554,Elite Instant Coffee To Go Sticks,50g,$6.00,$72.00,"12 Units (28  
Sticks/ Unit)",B.A.H
340-438,,Elite Turkish Coffee To Go Sticks,,168g,$7.75,$108.50,"14 Units (24  
Sticks/ Unit)"
340-439,,Elite Turkish Coffee  with Cardamom To-Go Sticks,,168g,$7.75,$108.50,"14 Units (24  
Sticks/ Unit)"
340-497,7290000176468,Haag Instant Coffee,50gr,$6.00,$144.00,24 Unit,Rabanut
340-435,7290112347299**,"Elite Strong Name 
Cafe",3.5,$6.00,$72.00,12 Unit,
340-437,77245107870,Coffee Turkish Bag,3.5oz,$2.70,$135.00,50 Unit,B.A.H.
340-451,7290112358561,"Instant Platinum  
Coffee",47g,$3.25,$39.00,12 Units,B.A.H.
340-452,,,Elite Platinum Instant  Coffee,7oz,$11.00,$66.00,6 Units
340-488,7290106525320* *,Chokolit For Baking,17oz,$7.00,$84.00,12 Units,Rabanut
340-430,,,Aladin Turkish Coffee  Bag,7oz,$5.25,$126.00,24 Unit
"

",,,,,,,
63,,,,,,,
"
",,,,,,,
340-425,77245102530,Elite Instant Coffee  Tin,7oz,$7.00,$84.00,12 Unit,B.A.H.
350-381,,"Landvar Turkish  
Coffee",3.5oz,$2.75,$66.00,24 Unit,B.A.H.
350-392,,Jacob Coffee,160gr,$8.50,$76.50,9 Unit,
350-391,,Jacob Turkish Coffee,85gr,$3.75,$60.00,16 Unit,
350-393,8714599410530,Jacob Turkish Coffee,7oz,$10.00,$120.00,12 Unit,
340-706,,"Quarter To Seven  
Mousse",100g,$5.50,$77.00,14 Unit,
340-707,,"Quarter To Seven  
Mousse",100g,$5.50,$77.00,14 Unit,
340-709,7290107944557**,"Quarter To Seven  
Truffle",190gr,$5.50,$77.00,14 Unit,
340-710,7290107944540**,Vanilla with Wafers,190gr,$5.50,$77.00,14 Unit,
340-711,7-290106-520066**,"Hazelnut Milk  
Chocolate",190gr,$5.50,$88.00,16 Unit,
340-712,"7-290104- 
061219**",Nougat Hazelnut,190gr,$5.50,$77.00,14 Unit,
340-713,7290107944366,Quarter To Seven  Rolls,190gr,$5.50,$77.00,14 Unit,Badatz
340-714,7290106725423,"Quarter to Seven 
Rolls Halva Cream",190gr,$5.50,$77.00,14 Unit,Badatz
"

",,,,,,,
64,,,,,,,
"
",,,,,,,
340-715,7290106662377,"Quarter to Seven 
Rolls Peanut Butter",190gr,$5.50,$77.00,14 Unit,Badatz
340-718,7290112331946,Quarter to Seven Rolls  Tortit,190gr,$5.50,$77.00,14 Unit,Badatz
340-720,7290000181103,"Midnight – Milk  
Chocolate",200gr,$5.50,$55.00,10 Unit,Badatz
340-721,7290105961532,"Midnight – White  
Chocolate",200gr,$5.50,$55.00,10 Unit,Badatz
340-722,,"Midnight Caramel  
Chocolate 
Blondi",200gr,$5.50,$55.00,10 Unit,Badatz
340-723,7290005199622,"Midnight – Bitter  
Chocolate",200gr,$5.50,$55.00,10 Unit,Badatz
340-808,,Mini Pinukiot Caramel  Cookies,180gr,$6.42,$77.00,12 Unit,
340-809,,Mini Pinukiot Coated  Pretzels,180gr,$6.42,$77.00,12 Unit,
340-752,790008753883,"Truffle & Crumb  
Wafers",350gr,$6.75,$67.50,10 Unit,Badatz
340-751,7-290008-753876**,Crumb Cheesecake  Wafers,350gr,$6.75,$67.50,10 Unit,
340-754,,Chocolate Covered  Wafers,350gr,$7.20,$72.00,10 Unit,
340-757,7290008749343,"Choco French  
Vanilla Wafers",350gr,$6.75,$67.5,10 Unit,
"

",,,,,,,
65,,,,,,,
"
",,,,,,,
340-758,790106662230**,"Choco Tov Taam  
Wafers",350gr,$6.75,$67.50,10 Units,
340-760,7290106656512,Tortit Wafers,350gr,$6.75,$67.50,10 Unit,Badatz
340-766,7290107943048* *,Tortit Wafers,90gr,$1.80,$72.00,40 Unit,
340-768,,Cheesecake Wafers,90gr,$1.80,$72.00,40 Unit,
340-767,,Chocolate Truffle  Wafers,90gr,$1.80,$72.00,40 Unit,
340-801,7290112332691,Pesek Zman Pinukiot,200gr,$5.50,$77.00,14 Unit,Badatz
340-802,7290112340276,Names Café Coffee  Pinukiot,200gr,$5.50,$77.00,14 Unit,Badatz
340-803,7290112346537,Tortit Pinukiot,200gr,$5.50,$77.00,14 Unit,Badatz
340-804,,"Black and White  
Piukiot",200gr,$5.50,$77.00,14 Unit,
340-806,7290112351241,"Chocolate  
Strawberry Pinukiot",200gr,$5.50,$77.00,14 Unit,
340-732,,"White Caramel  
Choco Biscuit",100gr,$3.25,$39.00,12 Unit,
340-734,,Ice Cream Cone Milk  Choco.,100gr,$3.25,$39.00,12 Unit,
340-735,7290005200908* *,White & Milk Choco  Biscuit,100gr,$3.25,$39.00,12 Unit,
"

",,,,,,,
66,,,,,,,
"
",,,,,,,
340-748,,"Elite Petit Burr  
Chocolate",500gr,$4.50,$54.00,12 Unit,
340-749,7290001813881,"Petit Burr Biscuit  
Vanilla",500gr,$4.50,$54.00,12 Unit,Badatz
340-811,815871012201**,Tortit (Bar),,$1.40,$42.00,30 Unit,
340-813,,White Tortit,,$1.75,52.50,30 Unit,
340-812,,Egozi,28gr,$1.75,$49.00,28 Unit,
340-815,72918388,Twist (Bar),28gr,$1.75,$56.00,32 Unit,
340-819,,White Mekupelet,40gr,$1.75,$42.00,24 Unit,
340-762,7290112349262**,"Pesek Zman  
Nishnushim",55gr,$2.62,$42.00,16 Unit,Rabanut
340-763,,Twist Nishnushim,55gr,$2.62,$42.00,16 Unit,Rabanut
340-764,7290112349255**,Tortit Nishnushim,55gr,$2.62,$42.00,16 Unit,Rabanut
340-765,7290112347626**,Kif Kef Nishnushim,55gr,$2.62,$42.00,16 Unit,Rabanut
340-797,,Pin Roll Tortit,350gr,$6.25,$56.75,9 Unit,
340-781,,Brownie Tortit,380gr,$9.00,$72.00,8 Unit,
"

",,,,,,,
67,,,,,,,
"
",,,,,,,
340-782,,Brownie Pesek Zman,380gr,$9.00,$72.00,8 Unit,
340-783,,Brownie Bittersweet  Chocolate,380gr,$9.00,$72.00,8 Unit,
$9.00,,Egozi Cake,340gr,$9.00,$72.00,8 Unit,
340-785,,Taami Cake,340gr,9.00,$72.00,8 Unit,
340-331,7290112349354,Raspberry Lemon  Candy,"45gr  
(3pk)",$3.50,$28.00,8 Unit,
340-332,7290112349347,"Elite Must Mint  
Candy","45gr  
(3pk)",$3.50,$28.00,8 Unit,
"

",,,,,,,
 ,,,,,,,
Telma Cereals ,,,,,,,
"
",,,,,,,
700-116,7290000114859,Cornflakes,850g,$8.25,$66.00,8 Unit,B.A.H
700-112,7290003805549,Shugi Cornflakes,500 g,$7.50,$90.00,12 Unit,B.A.H
700-119,7290100247556,Gluten Free Cornflakes,500g,$7.50,$90.00,12 Unit,B.A.H
700-120,7290000345140,Whole Grain Cornflakes,500g,$7.50,$90.00,12 Unit,B.A.H
700-107,7290003804528,Chariot Vanilla,686g,$9.00,$90.00,10 Unit,B.A.H
"

",,,,,,,
68,,,,,,,
"
",,,,,,,
700-106,7290112495020,Chariot Chocolate,686g,$9.00,$90.00,10 Unit,B.A.H
700-108,7290003804528,Chariot Marshmallow,686 gr,$9.00,$90.00,10 Unit,B.A.H
700-110,7290112495822,Chariot Black,686g,$9.00,$90.00,10 Unit,B.A.H
700-105,7290112947796,Chariot Caramel,686g,$9.00,$90.00,10 Unit,B.A.H
700-103,7290112495013,Nougat 45% Less Sugar,686g,$9.00,$90.00,10 Unit,B.A.H.
700-095,7290112497758**,Cocoa-Man Caramel Toffee,686g,$9.00,$90.00,10 Unit,B.A.H
700-111,7-29000380551-8*,"Vanilla Champion  
Cornflakes",415g,$7.00,$84.00,12 Unit,B.A.H
700-115,,CornFlakes Family pack Mini,5pk(12,$6.00,$72.00,12 Unit,B.A.H
700-114,7290003805518,Cornflakes Deli Pecan,400g,$7.50,$90.00,12 Unit,B.A.H
700-141,7290003805549,Shugi Cereal Bars,8pc,$5.00,$60.00,12 Unit,B.A.H
700-081,,Bran Flakes Wheat Subin,500g,$6.50,$84.00,12 Unit,B.A.H
700-084,,Bran Flakes Sugar-Free,500g,$7.50,$90.00,12 Unit,B.A.H
700-085,,Bran Flakes Crunch,375g,$6.50,$84.00,12 Unit,B.A.H
"

",,,,,,,
Kimal Thin Crackers,,,,,,,
"
",,,,,,,
300-561,689076171236,Thin Crackers Kimal,150g,$2.00,$40.00,20Unit,
300-562,689076171236,Thin Crackers Zaatar,150g,$2.00,$40.00,20Unit,
300-563,689076171236,Thin Crackers Sesame,150g,$2.00,$40.00,20Unit,
"

",,,,,,,
69,,,,,,,
"
",,,,,,,
Petit Crackers ,,,,,,,
"
",,,,,,,
700-121,7290003805501,Swedish Crackers,250g,$6.50,$156.00,24 Unit,B.A.H
700-126,7290003805587,Whole Wheat Crackers,250g,$6.50,$156.00,24 Unit,B.A.H
700-123,,Multi Grain Crackers,250 g,$6.50,$156.00,24 Unit,B.A.H
700-124,,Rye Grain Crackers,250 g,$6.50,$156.00,24 Unit,B.A.H
"

",,,,,,,
 ,,,,,,,
Vitamin-chick Syrup,,,,,,,
"
",,,,,,,
600-502,7290000065717**,Raspberry,1L,$6.50,$78.00,12 Unit,B.A.H
600-503,7290000066943**,Grape,1L,$6.50,$78.00,12 Unit,
600-505,7290100683613**,Mango Peach,1L,$6.50,$78.00,12 Unit,B.A.H
600-504,7290000066950**,Apple,1L,$6.50,$78.00,12 Unit,B.A.H
600-506,7290000065748**,Pineapple,1L,$6.50,$78.00,12 Unit,B.A.H
600-507,7290000065724**,Lemon,1L,$6.50,$78.00,12 Unit,B.A.H
600-509,7290112968364**,Tropic pineapple Banana,1L,$6.50,$78.00,12 Unit,B.A.H
"

",,,,,,,
70,,,,,,,
"
",,,,,,,
600-512,7290100683613* *,Mango Passion Fruit,1L,$6.50,$78.00,12 Unit,B.A.H
600-523,7290100681510,Diet Red Grapefruit,1L,$6.50,$78.00,12 Unit,B.A.H
600-524,,Diet Orange,1L,$6.50,$78.00,12 Unit,B.A.H
600-518,7290100681503**,Diet Lemon-Nana,1L,$6.50,$78.00,12 Unit,B.A.H
600-517,7290000272467**,"Vitamin Chick Diet  
Raspberry",1L,$6.50,$78.00,12 Unit,B.A.H
"

",,,,,,,
  ,,,,,,,
"
",,,,,,,
 ,,,,,,,
Jump Soft Drink,,,,,,,
"
",,,,,,,
600-301,7290006229069,Grape,1.5 L,$3.00,$36.00,12 Unit,B.A.H
600-302,7290000136738,Grapefruit,1.5 L,$3.00,$36.00,12 Unit,B.A.H
600-303,7290000136721,Orange,1.5 L,$3.00,$36.00,12 Unit,B.A.H
600-304,7290000327372,Diet Grapefruit,1.5 L,$3.00,$36.00,12 Unit,B.A.H
600-305,7290000327440,Mango,1.5 L,$3.00,$36.00,12 Unit,B.A.H
"

",,,,,,,
71,,,,,,,
"
",,,,,,,
600-306,7290000136745,Banana Strawberry,1.5 L,$3.00,$36.00,12 Unit,B.A.H
